school_state,resource_type,poverty_level,date_posted,total_donations,num_projects,grade_level
CA,Supplies,high,2010-06-26,928.69,1,Grades 6-8
CA,Books,high,2010-08-01,397.5,1,Grades PreK-2
CA,Supplies,high,2010-09-04,561.99,1,Grades PreK-2
CA,Supplies,high,2010-08-23,624.95,1,Grades 9-12
CA,Books,high,2010-09-21,395.53,1,Grades 9-12
CA,Technology,low,2010-08-02,393.67,2,Grades PreK-2
CA,Supplies,high,2010-09-05,388.0,1,Grades PreK-2
CA,Books,high,2010-09-22,247.78,1,Grades PreK-2
CA,Books,high,2010-09-22,247.78,1,Grades PreK-2
CA,Other,high,2010-07-25,384.03,1,Grades PreK-2
CA,Books,high,2010-09-19,542.44,1,Grades 9-12
FL,Supplies,high,2010-08-27,975.82,1,Grades 3-5
CA,Supplies,high,2010-08-27,975.82,1,Grades 3-5
CA,Supplies,high,2010-08-27,975.82,1,Grades 3-5
CA,Supplies,high,2010-08-03,336.94,1,Grades 6-8
CA,Technology,high,2010-09-24,493.2,2,Grades PreK-2
CA,Supplies,low,2010-09-24,420.73,1,Grades PreK-2
CA,Supplies,high,2010-09-04,504.32,1,Grades PreK-2
CA,Books,high,2010-09-13,657.28,1,Grades 3-5
CA,Books,high,2010-09-21,326.71,1,Grades 9-12
CA,Technology,high,2010-08-20,776.06,1,Grades 9-12
CA,Supplies,high,2010-09-13,264.93,1,Grades PreK-2
CA,Books,high,2010-04-27,430.27,1,Grades 3-5
CA,Books,high,2010-08-30,448.6,1,Grades 6-8
CA,Books,high,2010-08-30,448.6,1,Grades 6-8
CA,Books,high,2010-09-03,45.0,1,Grades 9-12
CA,Books,high,2010-09-13,25.0,1,Grades PreK-2
CA,Supplies,high,2010-08-30,536.31,3,Grades PreK-2
WA,Books,high,2010-07-14,1016.06,1,Grades 3-5
CA,Supplies,low,2010-09-13,230.85,1,Grades PreK-2
OH,Books,high,2010-09-19,545.27,1,Grades PreK-2
CA,Books,high,2010-09-19,545.27,1,Grades PreK-2
CA,Technology,high,2010-09-18,578.67,1,Grades 6-8
CA,Supplies,high,2010-06-24,502.3,1,Grades PreK-2
CA,Supplies,high,2010-09-12,958.71,1,Grades 6-8
CA,Technology,low,2010-09-18,261.18,1,Grades 3-5
CA,Supplies,high,2010-11-02,195.58,1,Grades 3-5
CA,Other,low,2010-05-28,405.39,1,Grades PreK-2
CA,Books,high,2010-09-10,306.37,1,Grades PreK-2
CA,Books,high,2010-09-10,306.37,2,Grades PreK-2
CA,Books,high,2010-06-21,490.15,1,Grades PreK-2
NY,Books,high,2010-09-19,278.38,1,Grades 9-12
CA,Supplies,high,2010-08-21,764.0,1,Grades 6-8
CA,Technology,low,2010-09-17,328.36,1,Grades PreK-2
CA,Books,high,2010-09-10,246.76,1,Grades 3-5
CA,Technology,high,2010-08-24,737.93,2,Grades PreK-2
NC,Books,high,2010-09-19,354.85,1,Grades 6-8
CA,Supplies,high,2010-09-05,536.05,2,Grades 3-5
CA,Supplies,high,2010-09-05,536.05,1,Grades 3-5
CA,Supplies,high,2010-09-04,792.75,1,Grades 3-5
CA,Supplies,low,2010-08-17,635.8,1,Grades 3-5
CA,Books,high,2010-05-12,668.15,1,Grades 6-8
CA,Books,high,2010-05-12,668.15,1,Grades 6-8
CA,Supplies,high,2010-08-12,547.68,1,Grades 9-12
CA,Technology,high,2010-08-30,717.42,1,Grades PreK-2
IL,Technology,high,2010-04-26,1157.31,1,Grades 6-8
TX,Other,high,2010-06-27,210.74,14,Grades 9-12
NM,Supplies,high,2010-08-12,475.82,1,Grades 9-12
VA,Supplies,high,2010-08-12,475.82,2,Grades 9-12
CA,Books,low,2010-07-03,194.28,1,Grades PreK-2
CA,Other,high,2010-08-31,404.51,2,Grades 3-5
MA,Supplies,high,2010-08-21,359.42,1,Grades PreK-2
CA,Technology,high,2010-07-22,275.0,1,Grades 9-12
